Agnieszki	Agnieszka
Aleksego	Aleksy
Andrzeja	Andrzej
Apolonii	Apolonia
Ewy	Ewa
Franciszki	Franciszka
Heleny	Helena
Jakuba	Jakub
Jana	Jan
Józefa	Józef
Józefy	Józefa
Karola	Karol
Katarzyny	Katarzyna
Krystyny	Krystyna
Krzysztofa	Krzysztof
Macieja	Maciej
Marcina	Marcin
Marianny	Marianna
Michała	Michał
Pawła	Paweł
Piotra	Piotr
Szymona	Szymon
Teresy	Teresa
Walentego	Walenty
Wojciecha	Wojciech
Zofii	Zofia
Tomasza	Tomasz
Bartłomieja	Bartłomiej
Satki	Saturnina
